"id","haydovchi","daromad","moshina_nomi","model","moshin_yili","mashina_raqami","moshina_rangi"
84,"Oswell Pierson",69.01,"Maybach","57",2011,576,"Yellow"
85,"Petronilla Crosgrove",70.76,"Ford","Explorer",2012,806,"Crimson"
86,"Lemmie Yeandel",82.11,"Chevrolet","Equinox",2010,995,"Khaki"
87,"Risa Heaseman",92.61,"BMW","X3",2007,880,"Indigo"
88,"Darlene Fairfull",93.77,"Audi","S5",2012,464,"Violet"
89,"Lyndy Perillo",96.72,"Dodge","Avenger",2012,429,"Green"
90,"Allx Moggie",69.34,"Acura","MDX",2002,220,"Maroon"
91,"Renate Lucia",95.7,"Chrysler","Town & Country",1997,619,"Pink"
92,"Ellwood McAllaster",89.5,"Dodge","Aspen",1976,539,"Blue"
93,"Janeczka Hedan",70.52,"BMW","X6",2013,877,"Fuscia"
94,"Kirsti Ivers",55.54,"Nissan","Pathfinder",2003,151,"Fuscia"
95,"Judon Farady",72.39,"BMW","M3",2012,278,"Puce"
96,"Clayborne Easen",42.5,"Volkswagen","Golf",1987,412,"Red"
97,"Gabriel Cheevers",66.27,"Jaguar","X-Type",2002,779,"Fuscia"
98,"Lowrance Paradine",87.33,"Cadillac","Escalade EXT",2009,179,"Violet"
99,"Ronda Grinov",49.06,"Mazda","RX-7",1990,964,"Fuscia"
100,"Tandy De Vries",73.07,"Saturn","S-Series",1996,484,"Blue"
